EVENT_UNIQUE_ID,OCCURRENCE_YEAR,LOCATION_TYPE,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS
GO-2018745946,2018,Other Commercial / Corporate Places,None,None,None,None,Muslim,None,None
GO-2018743233,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,Lesbian,None
GO-2018767447,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2018806839,2018,Public Transportation,None,None,Chinese,None,None,None,None
GO-2018882139,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181152753,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,Chinese,None,None,None,None
GO-2018891688,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-2018903594,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2018913953,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Muslim,None,None
GO-20181364803,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2018970888,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-2018975560,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2018982987,2018,"Open Area, Park or Parking Lot",None,"Black, White",None,None,None,2SLGBTQ+,None
GO-2018989194,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2018990504,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Christian Orthodox,None,None
GO-20181026326,2018,Public Transportation,None,None,None,None,Muslim,None,Woman
GO-20181025277,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,None,Woman
GO-20181027737,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,None,Woman
GO-20181034201,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,None,Woman
GO-20181062250,2018,Public Transportation,None,None,None,None,Muslim,None,None
GO-20181263327,2018,Other Commercial / Corporate Places,None,None,Iranian,None,None,None,None
GO-20181141157,2018,Public Transportation,None,None,None,None,Jewish,None,None
GO-20181150834,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-20181162920,2018,Business/Retail,None,None,None,None,None,2SLGBTQ+,None
GO-20181162575,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,Indian,None,None,Gay,None
GO-20181173411,2018,Public Transportation,None,None,None,None,Jewish,None,None
GO-20181268199,2018,Public Transportation,None,Black,None,None,None,None,None
GO-20181218012,2018,Public Transportation,None,None,None,None,Muslim,None,None
GO-20181266584,2018,Business/Retail,None,None,None,None,Jewish,None,None
GO-20181282134,2018,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20181332309,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20181346936,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Muslim,None,None
GO-20181494096,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20181358465,2018,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20181371226,2018,Other Commercial / Corporate Places,None,None,Iranian,None,None,None,None
GO-20181387642,2018,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20181406132,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,"Christian Orthodox, Jewish",None,None
GO-20181423067,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,2SLGBTQ+,None
GO-20181421823,2018,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-20181441618,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20181458534,2018,Streets/Roadways/Highway,None,None,None,None,None,2SLGBTQ+,None
GO-20181466167,2018,Business/Retail,None,None,None,None,Muslim,None,None
GO-20181476930,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20181485317,2018,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Man (Identifies As Man)
GO-20181496924,2018,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-20181504449,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20181532003,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181650394,2018,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-20181561304,2018,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,Gay,None
GO-20181553183,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,2SLGBTQ+,None
GO-20181574827,2018,Streets/Roadways/Highway,None,None,Arab,None,None,None,None
GO-20181640330,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20181637015,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20181612331,2018,Streets/Roadways/Highway,None,None,None,None,None,2SLGBTQ+,None
GO-20181639568,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2019382475,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181654468,2018,NA,None,Black,None,None,None,None,None
GO-20181714453,2018,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-20181737925,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181749520,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,None,2SLGBTQ+,None
GO-20181754281,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20181832964,2018,Other Commercial / Corporate Places,None,Black,None,None,Jewish,None,None
GO-20182028654,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20181820978,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,Pakistani,None,None,None,None
GO-20181878002,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-20181864322,2018,Religious Place of Worship/Cultural Centre,None,None,Israeli,None,None,None,None
GO-20181862954,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181889106,2018,Religious Place of Worship/Cultural Centre,None,Black,None,None,None,None,None
GO-20181858695,2018,"Open Area, Park or Parking Lot",None,Black,None,None,None,2SLGBTQ+,None
GO-20181879526,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181962746,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20181967758,2018,Streets/Roadways/Highway,None,Indigenous,None,None,None,None,None
GO-20181988491,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20181993895,2018,Business/Retail,None,None,None,None,Jewish,2SLGBTQ+,None
GO-20182007391,2018,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20181998661,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20182003974,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,Indian,None,Jewish,None,None
GO-20182002203,2018,NA,None,None,None,None,None,None,Woman
GO-20182034568,2018,Streets/Roadways/Highway,None,None,Chinese,None,None,2SLGBTQ+,None
GO-20182034453,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20182066758,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20182086034,2018,Business/Retail,None,Black,None,None,None,None,None
GO-20182082287,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20182124051,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-20182133081,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20182143761,2018,Other Commercial / Corporate Places,None,White,None,None,None,None,None
GO-20182150780,2018,NA,None,None,None,None,Jewish,None,None
GO-20182176935,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20182239737,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Muslim,None,None
GO-20182240409,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20182257023,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2019309664,2019,"Open Area, Park or Parking Lot",None,Black,None,None,Jewish,None,None
GO-201969491,2019,Business/Retail,None,None,Palestinian,None,None,None,None
GO-201998654,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2019143068,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,Jewish,None,None
GO-2019159337,2019,Business/Retail,None,None,None,None,None,None,"Transgender, Transgender Woman (Identifies As Woman)"
GO-2019181628,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-2019167334,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2019245534,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2019277259,2019,Non-Commercial/Non for Profit,None,None,None,None,Jewish,None,None
GO-2019353647,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,None,Transgender
GO-2019344359,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2019366090,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,Transgender
GO-2019369638,2019,Business/Retail,None,None,None,None,Jewish,None,None
GO-2019390495,2019,Public Transportation,None,None,Indian,None,None,None,None
GO-2019412582,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2019447155,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2019440438,2019,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2019462672,2019,Streets/Roadways/Highway,None,None,None,None,None,Gay,None
GO-2019492338,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,None,Transgender
GO-2019478197,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,Palestinian,None,Jewish,None,None
GO-2019490612,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2019526854,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-2019544459,2019,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-2019623915,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,Gay,None
GO-2019841432,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-2019653173,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20191772183,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-2019645621,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2019671692,2019,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-2019729676,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2019743044,2019,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-2019784707,2019,Streets/Roadways/Highway,None,East/Southeast Asian,None,None,None,None,None
GO-2019812160,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-2019940824,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2019842550,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,"Jewish, Muslim",None,None
GO-2019870512,2019,Business/Retail,None,None,None,None,Sikh,None,None
GO-2019870455,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-2019865249,2019,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2019883503,2019,Other Commercial / Corporate Places,None,Black,None,None,Jewish,None,None
GO-2019900679,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,Somali,None,None,None,None
GO-2019898873,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,Black,None,None,None,None,None
GO-2019911566,2019,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-2019982862,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2019936910,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2019994557,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2019985921,2019,"Medical Facility (Hospitals, Long-term Care, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2019998121,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,2SLGBTQ+,Woman
GO-2019995349,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20191025593,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,2SLGBTQ+,Woman
GO-20191021656,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-20191041096,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191029086,2019,Streets/Roadways/Highway,None,None,None,None,None,2SLGBTQ+,None
GO-20191063272,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191062212,2019,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-20191082293,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,2SLGBTQ+,None
GO-20191128847,2019,Streets/Roadways/Highway,None,None,None,None,None,2SLGBTQ+,None
GO-20191122668,2019,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-20191118461,2019,"Open Area, Park or Parking Lot",None,None,Chinese,None,None,None,None
GO-20191136491,2019,Streets/Roadways/Highway,None,None,None,None,None,None,"Transgender, Transgender Woman (Identifies As Woman)"
GO-20191171944,2019,Public Transportation,None,None,Sri Lankan,None,None,None,None
GO-20191148777,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20191178343,2019,"Open Area, Park or Parking Lot",None,None,Israeli,None,None,None,None
GO-20191171816,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20191189955,2019,Public Transportation,None,Black,None,None,None,None,None
GO-20191199663,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,White,None,None,None,None,None
GO-20191242613,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191235769,2019,Streets/Roadways/Highway,None,None,Indian,None,None,None,None
GO-20191274127,2019,Other Commercial / Corporate Places,None,None,None,None,None,2SLGBTQ+,None
GO-20191279404,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,White,None,None,None,None,None
GO-20191279287,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-20191283611,2019,Streets/Roadways/Highway,None,None,Israeli,None,None,None,None
GO-20191302484,2019,Business/Retail,None,None,None,None,None,Gay,None
GO-20191328080,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Muslim,None,None
GO-20191331028,2019,Streets/Roadways/Highway,None,Middle Eastern,None,None,None,None,None
GO-20191361942,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Catholic,None,None
GO-20191354777,2019,Business/Retail,None,Black,None,None,None,None,None
GO-20191362556,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Muslim,None,None
GO-20191378673,2019,NA,None,None,None,None,Jewish,None,None
GO-20191442068,2019,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20191407470,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,"Black, East/Southeast Asian",None,None,None,None,None
GO-20191409309,2019,Streets/Roadways/Highway,None,None,None,None,Sikh,None,None
GO-20191425466,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191422984,2019,Business/Retail,None,None,None,None,Jewish,None,None
GO-20191487964,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-20191526028,2019,Non-Commercial/Non for Profit,None,White,None,None,None,None,None
GO-20191526583,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Other race not mentioned,None,None,None,None,None
GO-20191549670,2019,NA,None,None,None,None,None,Gay,None
GO-20191556647,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191609692,2019,NA,None,None,None,None,None,2SLGBTQ+,None
GO-20191574379,2019,NA,None,None,None,None,None,Gay,None
GO-20191587422,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,None,2SLGBTQ+,None
GO-20191593292,2019,NA,None,None,None,None,Jewish,None,None
GO-20191597402,2019,Public Transportation,None,Black,None,None,None,None,None
GO-20191598564,2019,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Muslim,None,None
GO-20191610448,2019,Other Commercial / Corporate Places,None,Black,None,None,None,Gay,None
GO-20191615411,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-20191633756,2019,Other Commercial / Corporate Places,None,None,None,None,Sikh,None,None
GO-201938835,2019,Other Commercial / Corporate Places,None,None,None,None,Muslim,None,None
GO-20191683986,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20191665039,2019,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-20191673702,2019,Other Commercial / Corporate Places,None,None,None,None,Muslim,None,None
GO-20191678783,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,Gay,None
GO-20191684837,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20191683966,2019,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,Other Ethnicity not mentioned,None,None,None,None
GO-20191697794,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20191708427,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,Jewish,None,None
GO-20191728504,2019,NA,None,Black,None,None,None,2SLGBTQ+,None
GO-20191754082,2019,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-20191750723,2019,Streets/Roadways/Highway,None,None,None,None,Muslim,None,None
GO-20191741234,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,Israeli,None,None,None,None
GO-20191741280,2019,Streets/Roadways/Highway,None,None,Israeli,None,None,None,None
GO-20191806500,2019,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20191800985,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20191847880,2019,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-20191844629,2019,Streets/Roadways/Highway,None,None,None,None,None,None,Transgender Man (Identifies As Man)
GO-20191855288,2019,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20191913441,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,East/Southeast Asian,None,None,None,None,None
GO-20191896810,2019,NA,None,None,Other Ethnicity not mentioned,None,Muslim,None,None
GO-20191932495,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,Gay,None
GO-20191990863,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,2SLGBTQ+,Transgender
GO-20191995896,2019,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-20192087910,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20192270683,2019,"Open Area, Park or Parking Lot",None,None,None,None,Jewish,None,None
GO-20192155757,2019,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20192235741,2019,Public Transportation,None,East/Southeast Asian,None,None,None,None,None
GO-20192198971,2019,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-20192193912,2019,Public Transportation,None,Black,None,None,None,"Lesbian, 2SLGBTQ+",None
GO-20192240115,2019,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-20192381488,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20192270143,2019,Streets/Roadways/Highway,None,None,Other Ethnicity not mentioned,None,None,None,None
GO-20192291763,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,Iranian,None,None,None,None
GO-20192336703,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,None,None,Woman
GO-20192370649,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-20192392903,2019,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-20192511187,2019,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-20205969,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-202035752,2020,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-202047474,2020,Non-Commercial/Non for Profit,None,None,None,None,None,None,Woman
GO-202057623,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-2020104177,2020,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-2020245767,2020,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2020106565,2020,Streets/Roadways/Highway,None,None,None,None,None,Gay,None
GO-2020116293,2020,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2020177596,2020,"Open Area, Park or Parking Lot",None,Black,None,None,None,None,None
GO-2020133188,2020,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
GO-2020137907,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-2020139783,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-2020140439,2020,Other Commercial / Corporate Places,None,Black,None,None,None,None,None
GO-2020186519,2020,Business/Retail,None,None,None,None,Jewish,None,None
GO-2020206810,2020,Public Transportation,None,White,None,None,None,None,None
GO-2020230132,2020,Streets/Roadways/Highway,None,None,None,None,Sikh,None,None
GO-2020268007,2020,Public Transportation,None,None,Chinese,None,None,None,None
GO-2020273561,2020,Religious Place of Worship/Cultural Centre,None,None,None,None,Christian Orthodox,None,None
GO-2020303124,2020,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,None,Gay,None
GO-2020295088,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,Other Ethnicity not mentioned,None,None,None,None
GO-2020350310,2020,"Open Area, Park or Parking Lot",None,None,None,None,Muslim,None,None
GO-2020368079,2020,Public Transportation,None,None,None,None,Jewish,None,None
GO-2020397046,2020,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
